ref_area,ref_area_name,counterpart,counterpart_name,time_period,year,quarter,var_code,metric,sex,gender,area_name,reg_name,province,imm_category,obs_value,obs_status,source_dataset
CAN,Canada,BOL,Bolivia (Plurinational State of),1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,44.0,,FALLBACK_XLSX
CAN,Canada,BOT,Botswana,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Southern Africa,,,10.0,,FALLBACK_XLSX
CAN,Canada,BRA,Brazil,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,211.0,,FALLBACK_XLSX
CAN,Canada,BRU,Brunei Darussalam,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,South-Eastern Asia,,,79.0,,FALLBACK_XLSX
CAN,Canada,BGR,Bulgaria,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Eastern Europe,,,24.0,,FALLBACK_XLSX
CAN,Canada,BUR,Burkina Faso,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Western Africa,,,2.0,,FALLBACK_XLSX
CAN,Canada,CAB,Cabo Verde,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Western Africa,,,1.0,,FALLBACK_XLSX
CAN,Canada,KHM,Cambodia,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,South-Eastern Asia,,,12.0,,FALLBACK_XLSX
CAN,Canada,CMR,Cameroon,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Middle Africa,,,9.0,,FALLBACK_XLSX
CAN,Canada,CEN,Central African Republic,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Middle Africa,,,4.0,,FALLBACK_XLSX
CAN,Canada,CHL,Chile,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,1233.0,,FALLBACK_XLSX
CAN,Canada,CHN,China,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Eastern Asia,,,5123.0,,FALLBACK_XLSX
CAN,Canada,COL,Colombia,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,266.0,,FALLBACK_XLSX
CAN,Canada,CON,Congo,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Middle Africa,,,2.0,,FALLBACK_XLSX
CAN,Canada,COS,Costa Rica,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Central America,,,28.0,,FALLBACK_XLSX
CAN,Canada,CÔT,Côte d'Ivoire,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Western Africa,,,14.0,,FALLBACK_XLSX
CAN,Canada,CUB,Cuba,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Caribbean,,,306.0,,FALLBACK_XLSX
CAN,Canada,CYP,Cyprus,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Western Asia,,,132.0,,FALLBACK_XLSX
CAN,Canada,DEM,Democratic People's Republic of Korea,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Eastern Asia,,,1.0,,FALLBACK_XLSX
CAN,Canada,DEM,Democratic Republic of the Congo,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Middle Africa,,,15.0,,FALLBACK_XLSX
CAN,Canada,DNK,Denmark,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Northern Europe,,,272.0,,FALLBACK_XLSX
CAN,Canada,DOM,Dominica,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Caribbean,,,104.0,,FALLBACK_XLSX
CAN,Canada,DOM,Dominican Republic,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Caribbean,,,40.0,,FALLBACK_XLSX
CAN,Canada,ECU,Ecuador,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,238.0,,FALLBACK_XLSX
CAN,Canada,EGY,Egypt,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Northern Africa,,,612.0,,FALLBACK_XLSX
CAN,Canada,SLV,El Salvador,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Central America,,,110.0,,FALLBACK_XLSX
CAN,Canada,ETH,Ethiopia,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Eastern Africa,,,98.0,,FALLBACK_XLSX
CAN,Canada,FIJ,Fiji,1980,1980,,B11,Inflows of Foreign Population,T,Total,Oceania,Melanesia,,,632.0,,FALLBACK_XLSX
CAN,Canada,FIN,Finland,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Northern Europe,,,208.0,,FALLBACK_XLSX
CAN,Canada,FRA,France,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Western Europe,,,1729.0,,FALLBACK_XLSX
CAN,Canada,GAB,Gabon,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Middle Africa,,,2.0,,FALLBACK_XLSX
CAN,Canada,DEU,Germany,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Western Europe,,,1626.0,,FALLBACK_XLSX
CAN,Canada,GNA,Ghana,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Western Africa,,,172.0,,FALLBACK_XLSX
CAN,Canada,GRC,Greece,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Southern Europe,,,1065.0,,FALLBACK_XLSX
CAN,Canada,GRE,Grenada,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Caribbean,,,154.0,,FALLBACK_XLSX
CAN,Canada,GTM,Guatemala,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Central America,,,114.0,,FALLBACK_XLSX
CAN,Canada,GUY,Guyana,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,2334.0,,FALLBACK_XLSX
CAN,Canada,HTI,Haiti,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Caribbean,,,1666.0,,FALLBACK_XLSX
CAN,Canada,HND,Honduras,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Central America,,,26.0,,FALLBACK_XLSX
CAN,Canada,HUN,Hungary,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Eastern Europe,,,205.0,,FALLBACK_XLSX
CAN,Canada,ICE,Iceland,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Northern Europe,,,17.0,,FALLBACK_XLSX
CAN,Canada,IND,India,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Southern Asia,,,8880.0,,FALLBACK_XLSX
CAN,Canada,IDN,Indonesia,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,South-Eastern Asia,,,186.0,,FALLBACK_XLSX
CAN,Canada,IRA,Iran (Islamic Republic of),1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Southern Asia,,,1172.0,,FALLBACK_XLSX
CAN,Canada,IRQ,Iraq,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Western Asia,,,262.0,,FALLBACK_XLSX
CAN,Canada,IRL,Ireland,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Northern Europe,,,781.0,,FALLBACK_XLSX
CAN,Canada,ISR,Israel,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Western Asia,,,1403.0,,FALLBACK_XLSX
CAN,Canada,ITA,Italy,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Southern Europe,,,1820.0,,FALLBACK_XLSX
CAN,Canada,JAM,Jamaica,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Caribbean,,,3198.0,,FALLBACK_XLSX
CAN,Canada,JPN,Japan,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Eastern Asia,,,701.0,,FALLBACK_XLSX
CAN,Canada,JOR,Jordan,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Western Asia,,,177.0,,FALLBACK_XLSX
CAN,Canada,KEN,Kenya,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Eastern Africa,,,291.0,,FALLBACK_XLSX
CAN,Canada,KUW,Kuwait,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Western Asia,,,1.0,,FALLBACK_XLSX
CAN,Canada,LAO,Lao People's Democratic Republic,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,South-Eastern Asia,,,11.0,,FALLBACK_XLSX
CAN,Canada,LBN,Lebanon,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Western Asia,,,1409.0,,FALLBACK_XLSX
CAN,Canada,LES,Lesotho,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Southern Africa,,,1.0,,FALLBACK_XLSX
CAN,Canada,LIB,Liberia,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Western Africa,,,1.0,,FALLBACK_XLSX
CAN,Canada,LIB,Libya,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Northern Africa,,,5.0,,FALLBACK_XLSX
CAN,Canada,LIE,Liechtenstein,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Western Europe,,,1.0,,FALLBACK_XLSX
CAN,Canada,LIT,Lithuania,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Northern Europe,,,1.0,,FALLBACK_XLSX
CAN,Canada,LUX,Luxembourg,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Western Europe,,,14.0,,FALLBACK_XLSX
CAN,Canada,MAD,Madagascar,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Eastern Africa,,,22.0,,FALLBACK_XLSX
CAN,Canada,MAL,Malawi,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Eastern Africa,,,5.0,,FALLBACK_XLSX
CAN,Canada,MYS,Malaysia,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,South-Eastern Asia,,,786.0,,FALLBACK_XLSX
CAN,Canada,MAL,Mali,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Western Africa,,,4.0,,FALLBACK_XLSX
CAN,Canada,MAL,Malta,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Southern Europe,,,191.0,,FALLBACK_XLSX
CAN,Canada,MAU,Mauritania,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Western Africa,,,5.0,,FALLBACK_XLSX
CAN,Canada,MAU,Mauritius,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Eastern Africa,,,306.0,,FALLBACK_XLSX
CAN,Canada,MEX,Mexico,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Central America,,,409.0,,FALLBACK_XLSX
CAN,Canada,MAR,Morocco,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Northern Africa,,,325.0,,FALLBACK_XLSX
CAN,Canada,MYA,Myanmar,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,South-Eastern Asia,,,80.0,,FALLBACK_XLSX
CAN,Canada,NAU,Nauru,1980,1980,,B11,Inflows of Foreign Population,T,Total,Oceania,Micronesia,,,1.0,,FALLBACK_XLSX
CAN,Canada,NPL,Nepal,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Southern Asia,,,1.0,,FALLBACK_XLSX
CAN,Canada,NLD,Netherlands,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Western Europe,,,1889.0,,FALLBACK_XLSX
CAN,Canada,NZL,New Zealand,1980,1980,,B11,Inflows of Foreign Population,T,Total,Oceania,Australia and New Zealand,,,602.0,,FALLBACK_XLSX
CAN,Canada,NIC,Nicaragua,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Central America,,,18.0,,FALLBACK_XLSX
CAN,Canada,NGA,Nigeria,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Western Africa,,,81.0,,FALLBACK_XLSX
CAN,Canada,NOR,Norway,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Northern Europe,,,116.0,,FALLBACK_XLSX
CAN,Canada,PAK,Pakistan,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Southern Asia,,,978.0,,FALLBACK_XLSX
CAN,Canada,PAN,Panama,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Central America,,,13.0,,FALLBACK_XLSX
CAN,Canada,PAR,Paraguay,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,45.0,,FALLBACK_XLSX
CAN,Canada,PER,Peru,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,317.0,,FALLBACK_XLSX
CAN,Canada,PHL,Philippines,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,South-Eastern Asia,,,6051.0,,FALLBACK_XLSX
CAN,Canada,POL,Poland,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Eastern Europe,,,863.0,,FALLBACK_XLSX
CAN,Canada,PRT,Portugal,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Southern Europe,,,4473.0,,FALLBACK_XLSX
CAN,Canada,REP,Republic of Korea,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Eastern Asia,,,1011.0,,FALLBACK_XLSX
CAN,Canada,ROU,Romania,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Eastern Europe,,,375.0,,FALLBACK_XLSX
CAN,Canada,RWA,Rwanda,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Eastern Africa,,,6.0,,FALLBACK_XLSX
CAN,Canada,SAI,Saint Kitts and Nevis,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Caribbean,,,5.0,,FALLBACK_XLSX
CAN,Canada,SAI,Saint Lucia,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Caribbean,,,69.0,,FALLBACK_XLSX
CAN,Canada,SAI,Saint Vincent and the Grenadines,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Caribbean,,,147.0,,FALLBACK_XLSX
CAN,Canada,SAM,Samoa,1980,1980,,B11,Inflows of Foreign Population,T,Total,Oceania,Polynesia,,,3.0,,FALLBACK_XLSX
CAN,Canada,SAN,San Marino,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Southern Europe,,,1.0,,FALLBACK_XLSX
CAN,Canada,SEN,Senegal,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Western Africa,,,13.0,,FALLBACK_XLSX
CAN,Canada,SEY,Seychelles,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Eastern Africa,,,5.0,,FALLBACK_XLSX
CAN,Canada,SIE,Sierra Leone,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Western Africa,,,6.0,,FALLBACK_XLSX
CAN,Canada,SIN,Singapore,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,South-Eastern Asia,,,241.0,,FALLBACK_XLSX
CAN,Canada,SOM,Somalia,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Eastern Africa,,,7.0,,FALLBACK_XLSX
CAN,Canada,ZAF,South Africa,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Southern Africa,,,1026.0,,FALLBACK_XLSX
CAN,Canada,ESP,Spain,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Southern Europe,,,211.0,,FALLBACK_XLSX
CAN,Canada,LKA,Sri Lanka,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Southern Asia,,,185.0,,FALLBACK_XLSX
CAN,Canada,SDN,Sudan,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Northern Africa,,,20.0,,FALLBACK_XLSX
CAN,Canada,SUR,Suriname,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,15.0,,FALLBACK_XLSX
CAN,Canada,SWA,Swaziland,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Southern Africa,,,4.0,,FALLBACK_XLSX
CAN,Canada,SWE,Sweden,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Northern Europe,,,281.0,,FALLBACK_XLSX
CAN,Canada,CHE,Switzerland,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Western Europe,,,806.0,,FALLBACK_XLSX
CAN,Canada,SYR,Syrian Arab Republic,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Western Asia,,,315.0,,FALLBACK_XLSX
CAN,Canada,THA,Thailand,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,South-Eastern Asia,,,56.0,,FALLBACK_XLSX
CAN,Canada,TOG,Togo,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Western Africa,,,5.0,,FALLBACK_XLSX
CAN,Canada,TON,Tonga,1980,1980,,B11,Inflows of Foreign Population,T,Total,Oceania,Polynesia,,,2.0,,FALLBACK_XLSX
CAN,Canada,TTO,Trinidad and Tobago,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Caribbean,,,958.0,,FALLBACK_XLSX
CAN,Canada,TUN,Tunisia,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Northern Africa,,,58.0,,FALLBACK_XLSX
CAN,Canada,TUR,Turkey,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Western Asia,,,481.0,,FALLBACK_XLSX
CAN,Canada,UGA,Uganda,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Eastern Africa,,,13.0,,FALLBACK_XLSX
CAN,Canada,UNI,United Kingdom of Great Britain and Northern Ireland,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Northern Europe,,,22045.0,,FALLBACK_XLSX
CAN,Canada,UNI,United Republic of Tanzania,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Eastern Africa,,,635.0,,FALLBACK_XLSX
CAN,Canada,UNI,United States of America,1980,1980,,B11,Inflows of Foreign Population,T,Total,Northern America,Northern America,,,9378.0,,FALLBACK_XLSX
CAN,Canada,URU,Uruguay,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,128.0,,FALLBACK_XLSX
CAN,Canada,VEN,Venezuela (Bolivarian Republic of),1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,103.0,,FALLBACK_XLSX
CAN,Canada,VIE,Viet Nam,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,South-Eastern Asia,,,1191.0,,FALLBACK_XLSX
CAN,Canada,YEM,Yemen,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Western Asia,,,1.0,,FALLBACK_XLSX
CAN,Canada,ZAM,Zambia,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Eastern Africa,,,11.0,,FALLBACK_XLSX
CAN,Canada,ZWE,Zimbabwe,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Eastern Africa,,,72.0,,FALLBACK_XLSX
CAN,Canada,UNK,Unknown,1980,1980,,B11,Inflows of Foreign Population,T,Total,World,World,,,44000.0,,FALLBACK_XLSX
CAN,Canada,TOT,Total,1980,1980,,B11,Inflows of Foreign Population,T,Total,World,World,,,143137.0,,FALLBACK_XLSX
CAN,Canada,AFG,Afghanistan,1981,1981,,B11,Inflows of Foreign Population,T,Total,Asia,Southern Asia,,,39.0,,FALLBACK_XLSX
CAN,Canada,DZA,Algeria,1981,1981,,B11,Inflows of Foreign Population,T,Total,Africa,Northern Africa,,,67.0,,FALLBACK_XLSX
CAN,Canada,AME,American Samoa,1981,1981,,B11,Inflows of Foreign Population,T,Total,Oceania,Polynesia,,,1.0,,FALLBACK_XLSX
CAN,Canada,ANG,Angola,1981,1981,,B11,Inflows of Foreign Population,T,Total,Africa,Middle Africa,,,3.0,,FALLBACK_XLSX
CAN,Canada,ARG,Argentina,1981,1981,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,426.0,,FALLBACK_XLSX
CAN,Canada,AUS,Australia,1981,1981,,B11,Inflows of Foreign Population,T,Total,Oceania,Australia and New Zealand,,,639.0,,FALLBACK_XLSX
CAN,Canada,AUT,Austria,1981,1981,,B11,Inflows of Foreign Population,T,Total,Europe,Western Europe,,,238.0,,FALLBACK_XLSX
CAN,Canada,BAH,Bahamas,1981,1981,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Caribbean,,,23.0,,FALLBACK_XLSX
CAN,Canada,BAH,Bahrain,1981,1981,,B11,Inflows of Foreign Population,T,Total,Asia,Western Asia,,,2.0,,FALLBACK_XLSX
CAN,Canada,BGD,Bangladesh,1981,1981,,B11,Inflows of Foreign Population,T,Total,Asia,Southern Asia,,,84.0,,FALLBACK_XLSX
CAN,Canada,BAR,Barbados,1981,1981,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Caribbean,,,376.0,,FALLBACK_XLSX
CAN,Canada,BEL,Belgium,1981,1981,,B11,Inflows of Foreign Population,T,Total,Europe,Western Europe,,,540.0,,FALLBACK_XLSX
CAN,Canada,BEL,Belize,1981,1981,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Central America,,,27.0,,FALLBACK_XLSX
CAN,Canada,BEN,Benin,1981,1981,,B11,Inflows of Foreign Population,T,Total,Africa,Western Africa,,,5.0,,FALLBACK_XLSX
CAN,Canada,BOL,Bolivia (Plurinational State of),1981,1981,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,52.0,,FALLBACK_XLSX
CAN,Canada,BOT,Botswana,1981,1981,,B11,Inflows of Foreign Population,T,Total,Africa,Southern Africa,,,1.0,,FALLBACK_XLSX
CAN,Canada,BRA,Brazil,1981,1981,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,220.0,,FALLBACK_XLSX
CAN,Canada,BRU,Brunei Darussalam,1981,1981,,B11,Inflows of Foreign Population,T,Total,Asia,South-Eastern Asia,,,6.0,,FALLBACK_XLSX
CAN,Canada,BGR,Bulgaria,1981,1981,,B11,Inflows of Foreign Population,T,Total,Europe,Eastern Europe,,,20.0,,FALLBACK_XLSX
CAN,Canada,BUR,Burkina Faso,1981,1981,,B11,Inflows of Foreign Population,T,Total,Africa,Western Africa,,,1.0,,FALLBACK_XLSX
CAN,Canada,CAB,Cabo Verde,1981,1981,,B11,Inflows of Foreign Population,T,Total,Africa,Western Africa,,,1.0,,FALLBACK_XLSX
CAN,Canada,KHM,Cambodia,1981,1981,,B11,Inflows of Foreign Population,T,Total,Asia,South-Eastern Asia,,,19.0,,FALLBACK_XLSX
CAN,Canada,CMR,Cameroon,1981,1981,,B11,Inflows of Foreign Population,T,Total,Africa,Middle Africa,,,2.0,,FALLBACK_XLSX
CAN,Canada,CEN,Central African Republic,1981,1981,,B11,Inflows of Foreign Population,T,Total,Africa,Middle Africa,,,3.0,,FALLBACK_XLSX
CAN,Canada,CHL,Chile,1981,1981,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,1069.0,,FALLBACK_XLSX
CAN,Canada,CHN,China,1981,1981,,B11,Inflows of Foreign Population,T,Total,Asia,Eastern Asia,,,6682.0,,FALLBACK_XLSX
CAN,Canada,COL,Colombia,1981,1981,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,326.0,,FALLBACK_XLSX
CAN,Canada,COM,Comoros,1981,1981,,B11,Inflows of Foreign Population,T,Total,Africa,Eastern Africa,,,2.0,,FALLBACK_XLSX
CAN,Canada,COS,Costa Rica,1981,1981,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Central America,,,35.0,,FALLBACK_XLSX
CAN,Canada,CÔT,Côte d'Ivoire,1981,1981,,B11,Inflows of Foreign Population,T,Total,Africa,Western Africa,,,8.0,,FALLBACK_XLSX
CAN,Canada,CUB,Cuba,1981,1981,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Caribbean,,,41.0,,FALLBACK_XLSX
CAN,Canada,CYP,Cyprus,1981,1981,,B11,Inflows of Foreign Population,T,Total,Asia,Western Asia,,,128.0,,FALLBACK_XLSX
CAN,Canada,DEM,Democratic People's Republic of Korea,1981,1981,,B11,Inflows of Foreign Population,T,Total,Asia,Eastern Asia,,,1.0,,FALLBACK_XLSX
CAN,Canada,DEM,Democratic Republic of the Congo,1981,1981,,B11,Inflows of Foreign Population,T,Total,Africa,Middle Africa,,,16.0,,FALLBACK_XLSX
CAN,Canada,DNK,Denmark,1981,1981,,B11,Inflows of Foreign Population,T,Total,Europe,Northern Europe,,,293.0,,FALLBACK_XLSX
CAN,Canada,DJI,Djibouti,1981,1981,,B11,Inflows of Foreign Population,T,Total,Africa,Eastern Africa,,,1.0,,FALLBACK_XLSX
CAN,Canada,DOM,Dominica,1981,1981,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Caribbean,,,81.0,,FALLBACK_XLSX
CAN,Canada,DOM,Dominican Republic,1981,1981,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Caribbean,,,53.0,,FALLBACK_XLSX
CAN,Canada,ECU,Ecuador,1981,1981,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,207.0,,FALLBACK_XLSX
CAN,Canada,EGY,Egypt,1981,1981,,B11,Inflows of Foreign Population,T,Total,Africa,Northern Africa,,,660.0,,FALLBACK_XLSX
CAN,Canada,SLV,El Salvador,1981,1981,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Central America,,,295.0,,FALLBACK_XLSX
CAN,Canada,ETH,Ethiopia,1981,1981,,B11,Inflows of Foreign Population,T,Total,Africa,Eastern Africa,,,59.0,,FALLBACK_XLSX
