SOURCE_SYSTEM,CONTRACT_ID,CONTRACT_TYPE,INSURED_PERIOD_FROM,INSURED_PERIOD_TO,CREATION_DATE
Contract_SR_Europa_3,10000023,Reinsurance,07.04.2020,06.04.2025,24.01.2022 09:00
Contract_SR_Europa_3,10000024,Direct,18.05.2021,17.05.2022,24.01.2022 10:30
Contract_SR_Europa_3,10000025,,29.06.2018,28.06.2023,24.01.2022 14:15
Contract_SR_Europa_3,10000026,Reinsurance,10.07.2019,09.07.2024,25.01.2022 11:45
Contract_SR_Europa_3,10000027,Direct,21.08.2020,20.08.2021,25.01.2022 13:30
Contract_SR_Europa_3,10000028,,02.09.2021,01.09.2022,25.01.2022 16:00
Contract_SR_Europa_3,10000029,Reinsurance,13.10.2018,12.10.2023,26.01.2022 08:30
Contract_SR_Europa_3,10000030,Direct,24.11.2019,23.11.2024,26.01.2022 09:45
Contract_SR_Europa_3,10000031,Direct,05.12.2020,04.12.2021,26.01.2022 14:20
Contract_SR_Europa_3,10000032,Reinsurance,16.01.2021,15.01.2026,27.01.2022 10:15
Contract_SR_Europa_3,10000033,,27.02.2022,26.02.2023,27.01.2022 11:30
Contract_SR_Europa_3,10000034,Direct,09.03.2019,08.03.2024,27.01.2022 15:45
Contract_SR_Europa_3,10000035,Reinsurance,20.04.2020,19.04.2025,28.01.2022 09:00
Contract_SR_Europa_3,10000036,,01.05.2021,30.04.2022,28.01.2022 10:30
Contract_SR_Europa_3,10000037,Direct,12.06.2018,11.06.2023,28.01.2022 14:15
Contract_SR_Europa_3,10000038,Reinsurance,23.07.2019,22.07.2024,29.01.2022 11:45
Contract_SR_Europa_3,10000039,,04.08.2020,03.08.2021,29.01.2022 13:30
Contract_SR_Europa_3,10000040,Direct,15.09.2021,14.09.2022,29.01.2022 16:00
Contract_SR_Europa_3,10000041,Reinsurance,26.10.2018,25.10.2023,30.01.2022 08:30
Contract_SR_Europa_3,10000042,Direct,07.11.2019,06.11.2024,30.01.2022 09:45
Contract_SR_Europa_3,10000043,,18.12.2020,17.12.2021,30.01.2022 14:20
Contract_SR_Europa_3,10000044,Reinsurance,29.01.2021,28.01.2026,31.01.2022 10:15
Contract_SR_Europa_3,10000045,Direct,10.02.2022,09.02.2023,31.01.2022 11:30
Contract_SR_Europa_3,10000046,,21.03.2019,20.03.2024,31.01.2022 15:45
Contract_SR_Europa_3,10000047,Reinsurance,02.04.2020,01.04.2025,01.02.2022 09:00
Contract_SR_Europa_3,10000048,Direct,13.05.2021,12.05.2022,01.02.2022 10:30
Contract_SR_Europa_3,10000049,,24.06.2018,23.06.2023,01.02.2022 14:15
Contract_SR_Europa_3,10000050,Reinsurance,05.07.2019,04.07.2024,02.02.2022 11:45
Contract_SR_Europa_3,10000051,Direct,16.08.2020,15.08.2021,02.02.2022 13:30
Contract_SR_Europa_3,10000052,,27.09.2021,26.09.2022,02.02.2022 16:00
Contract_SR_Europa_3,10000053,Reinsurance,08.10.2018,07.10.2023,03.02.2022 08:30
Contract_SR_Europa_3,10000054,Direct,19.11.2019,18.11.2024,03.02.2022 09:45
Contract_SR_Europa_3,10000055,,30.12.2020,29.12.2021,03.02.2022 14:20
Contract_SR_Europa_3,10000056,Reinsurance,11.01.2021,10.01.2026,04.02.2022 10:15
Contract_SR_Europa_3,10000057,Direct,22.02.2022,21.02.2023,04.02.2022 11:30
Contract_SR_Europa_3,10000058,,04.03.2019,03.03.2024,04.02.2022 15:45
Contract_SR_Europa_3,10000059,Reinsurance,15.04.2020,14.04.2025,05.02.2022 09:00
Contract_SR_Europa_3,10000060,Direct,26.05.2021,25.05.2022,05.02.2022 10:30
Contract_SR_Europa_3,10000061,,07.06.2018,06.06.2023,05.02.2022 14:15
Contract_SR_Europa_3,10000062,Reinsurance,18.07.2019,17.07.2024,06.02.2022 11:45
Contract_SR_Europa_3,10000063,Direct,29.08.2020,28.08.2021,06.02.2022 13:30
Contract_SR_Europa_3,10000064,,10.09.2021,09.09.2022,06.02.2022 16:00
Contract_SR_Europa_3,10000065,Reinsurance,21.10.2018,20.10.2023,07.02.2022 08:30
Contract_SR_Europa_3,10000066,Direct,02.11.2019,01.11.2024,07.02.2022 09:45
Contract_SR_Europa_3,10000067,,13.12.2020,12.12.2021,07.02.2022 14:20
Contract_SR_Europa_3,10000068,Reinsurance,24.01.2021,23.01.2026,08.02.2022 10:15
Contract_SR_Europa_3,10000069,Direct,06.02.2022,05.02.2023,08.02.2022 11:30
Contract_SR_Europa_3,10000070,,17.03.2019,16.03.2024,08.02.2022 15:45
Contract_SR_Europa_3,10000071,Reinsurance,28.04.2020,27.04.2025,09.02.2022 09:00
Contract_SR_Europa_3,10000072,Direct,09.05.2021,08.05.2022,09.02.2022 10:30
Contract_SR_Europa_3,10000073,,20.06.2018,19.06.2023,09.02.2022 14:15
Contract_SR_Europa_3,10000074,Reinsurance,01.07.2019,30.06.2024,10.02.2022 11:45
Contract_SR_Europa_3,10000075,Direct,12.08.2020,11.08.2021,10.02.2022 13:30
Contract_SR_Europa_3,10000076,,23.09.2021,22.09.2022,10.02.2022 16:00
Contract_SR_Europa_3,10000077,Reinsurance,04.10.2018,03.10.2023,11.02.2022 08:30
Contract_SR_Europa_3,10000078,Direct,15.11.2019,14.11.2024,11.02.2022 09:45
Contract_SR_Europa_3,10000079,,26.12.2020,25.12.2021,11.02.2022 14:20
Contract_SR_Europa_3,10000080,Reinsurance,07.01.2021,06.01.2026,12.02.2022 10:15
Contract_SR_Europa_3,10000081,Direct,18.02.2022,17.02.2023,12.02.2022 11:30
Contract_SR_Europa_3,10000082,,29.03.2019,28.03.2024,12.02.2022 15:45
Contract_SR_Europa_3,10000083,Reinsurance,10.04.2020,09.04.2025,13.02.2022 09:00
Contract_SR_Europa_3,10000084,Direct,21.05.2021,20.05.2022,13.02.2022 10:30
Contract_SR_Europa_3,10000085,,02.06.2018,01.06.2023,13.02.2022 14:15
Contract_SR_Europa_3,10000086,Reinsurance,13.07.2019,12.07.2024,14.02.2022 11:45
Contract_SR_Europa_3,10000087,Direct,24.08.2020,23.08.2021,14.02.2022 13:30
Contract_SR_Europa_3,10000088,,05.09.2021,04.09.2022,14.02.2022 16:00
Contract_SR_Europa_3,10000089,Reinsurance,16.10.2018,15.10.2023,15.02.2022 08:30
Contract_SR_Europa_3,10000090,Direct,27.11.2019,26.11.2024,15.02.2022 09:45
Contract_SR_Europa_3,10000091,,08.12.2020,07.12.2021,15.02.2022 14:20
Contract_SR_Europa_3,10000092,Reinsurance,19.01.2021,18.01.2026,16.02.2022 10:15
Contract_SR_Europa_3,10000093,Direct,30.01.2022,29.01.2023,16.02.2022 11:30
Contract_SR_Europa_3,10000094,,11.02.2019,10.02.2024,16.02.2022 15:45
Contract_SR_Europa_3,10000095,Reinsurance,22.03.2020,21.03.2025,17.02.2022 09:00
Contract_SR_Europa_3,10000096,Direct,03.04.2021,02.04.2022,17.02.2022 10:30
Contract_SR_Europa_3,10000097,,14.05.2018,13.05.2023,17.02.2022 14:15
Contract_SR_Europa_3,10000098,Reinsurance,25.06.2019,24.06.2024,18.02.2022 11:45
Contract_SR_Europa_3,10000099,Direct,06.07.2020,05.07.2021,18.02.2022 13:30
Contract_SR_Europa_3,10100000,,17.08.2021,16.08.2022,18.02.2022 16:00
